City,Country,month,aqi,co,dew,humidity,mepaqi,no2,o3,pm10,pm25,preciptation,pressure,so2,temperature
Fushun,CN,4,,-25.4,343.2,169.6,,-15.6,1.5,-4.9,9.7,-100.0,201.7,3.3,155.8
Fushun,CN,5,,-11.7,414.1,350.9,,-31.2,-10.9,-28.3,-16.8,-100.0,198.5,-3.8,160.2
Fushun,CN,6,,-10.5,208.5,173.4,,-15.0,0.2,-0.1,-12.5,-100.0,203.7,14.7,225.1
Fushun,CN,7,,672.5,10.8,15.8,,14.7,-0.4,2.5,-1.0,-100.0,18.4,2.1,13.6
Fushun,CN,8,,,7.2,-0.1,,9.2,0.8,7.4,2.2,-100.0,-0.0,-23.5,6.6
Fushun,CN,9,,2149.8,-2.3,7.4,,-5.5,-22.7,-17.3,-11.6,-100.0,-0.3,-4.9,-7.6
Fushun,CN,10,,25.4,-38.6,6.9,,5.3,-21.8,-5.4,-2.0,-100.0,-0.0,-2.5,-12.1
Fushun,CN,11,,28.4,-27.4,8.5,,16.0,-10.0,29.0,28.6,-100.0,0.1,4.4,275.5
Fushun,CN,12,,-2.5,85.7,8.8,,-3.3,-13.0,2.8,-5.3,,28.7,-26.8,104.4
Fuzhou,CN,1,,-2.1,222.6,174.3,,-27.8,0.6,-23.4,-15.2,83.0,183.3,-22.7,221.8
Fuzhou,CN,2,,7.0,53.9,74.8,,-50.3,12.7,-28.1,-19.7,-36.3,97.0,-19.0,108.3
Fuzhou,CN,3,,0.6,221.3,218.8,,-24.6,-12.0,-33.5,-23.0,-26.4,206.0,-20.7,212.7
Fuzhou,CN,4,,-14.5,126.8,142.5,,-17.8,4.5,-24.5,-12.5,-100.0,164.2,-11.3,117.7
Fuzhou,CN,5,,0.6,334.1,292.6,,-9.3,-6.2,-19.6,-20.0,-100.0,132.1,-22.0,269.5
Fuzhou,CN,6,,-10.7,286.0,244.7,,-6.9,8.8,-1.8,-14.6,-99.7,254.4,-16.1,286.6
Fuzhou,CN,7,,508.0,23.1,19.5,,7.5,1.8,17.4,-5.7,-100.0,20.9,-44.1,23.7
Fuzhou,CN,8,,,6.5,7.8,,23.0,-13.8,10.8,-5.5,-100.0,1.1,-51.5,1.9
Fuzhou,CN,9,,3095.0,13.1,22.9,,39.8,-10.7,-3.6,1.8,-100.0,0.8,-58.8,-3.0
Fuzhou,CN,10,,5.8,1.7,10.2,,-5.6,-15.0,-16.0,-24.8,-100.0,0.4,-16.0,-5.8
Fuzhou,CN,11,,15.3,40.3,14.7,,-16.2,-15.2,-16.8,-15.4,-100.0,1.1,-13.0,8.9
Fuzhou,CN,12,,9.9,25.0,30.3,,-29.2,-8.1,-26.0,-19.5,-100.0,28.9,-23.7,21.8
Guangzhou,CN,1,,-20.8,206.7,177.7,,-24.0,72.3,-17.9,-24.6,,155.4,-43.0,183.4
Guangzhou,CN,2,,-22.8,75.3,98.4,,-38.0,28.0,-33.2,-31.5,,97.0,-40.7,93.2
Guangzhou,CN,3,,-21.1,182.7,217.7,,-35.7,23.4,-33.4,-37.4,,198.1,-39.6,189.1
Guangzhou,CN,4,,-10.2,109.1,163.6,,-9.5,19.9,-12.9,-18.0,-100.0,198.7,-26.1,149.8
Guangzhou,CN,5,,-9.1,240.6,112.2,,-21.7,17.4,-15.4,-19.2,,114.5,-29.8,118.7
Guangzhou,CN,6,,-16.2,238.1,68.3,,-24.6,-37.6,-26.1,-31.6,,76.1,-22.2,79.3
Guangzhou,CN,7,,400.5,11.7,-0.1,,-23.4,-18.2,-25.2,-32.2,-100.0,15.6,-48.3,20.7
Guangzhou,CN,8,,,-4.1,-5.3,,-20.0,-2.5,-22.0,-21.8,,0.3,-49.6,-0.7
Guangzhou,CN,9,,2417.3,13.9,22.1,,1.5,-39.9,-23.5,-23.1,,-0.1,-47.9,-3.7
Guangzhou,CN,10,,12.4,-7.9,-6.0,,-11.2,-12.9,-20.1,-23.8,,-0.1,-21.9,-6.3
Guangzhou,CN,11,,1.7,24.1,0.2,,-20.4,5.7,-19.2,-21.8,,0.1,-12.1,1.9
Guangzhou,CN,12,,-12.5,69.4,28.9,,-30.6,-75.9,-18.1,-11.8,,28.0,-10.5,15.3
